emp_title,emp_length,home_ownership,annual_inc,verification_status,addr_state,avg_cur_bal,Tot_cur_bal,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,pymnt_plan,type,purpose,description
Sr. Team Leader,8 years,MORTGAGE,59500,Not Verified,NE,2232,29014,Current,5600,NE,5600, 36 months,0.0532,168.64999,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Teacher,10+ years,RENT,55000,Verified,NC,4687,46872,Fully Paid,10000,NC,10000, 36 months,0.1504,346.85001,C,false,Individual,debt_consolidation,Debt consolidation
Chief Technology Officer,< 1 year,MORTGAGE,145000,Verified,AZ,28922,491688,Fully Paid,28000,AZ,28000, 36 months,0.0532,843.21997,A,false,Individual,credit_card,Credit card refinancing
Carpenter,10+ years,MORTGAGE,90000,Source Verified,CA,19183,134283,Current,15000,CA,15000, 60 months,0.1691,372.07001,C,false,Individual,credit_card,Credit card refinancing
grounds manager,10+ years,MORTGAGE,70000,Not Verified,CA,42731,299115,Current,9600,CA,9600, 36 months,0.1091,313.89001,B,false,Individual,credit_card,Credit card refinancing
Teacher,10+ years,MORTGAGE,59000,Not Verified,MD,93355,466776,Current,4000,MD,4000, 36 months,0.1797,144.55,D,false,Joint App,debt_consolidation,Debt consolidation
Elite Account Mgr ,10+ years,MORTGAGE,80500,Source Verified,GA,8624,206987,Fully Paid,32000,GA,32000, 36 months,0.0819,1005.58,A,false,Individual,debt_consolidation,Debt consolidation
Medical phone intake coordinator,2 years,RENT,35000,Not Verified,CA,3644,25505,Current,18300,CA,18300, 36 months,0.288,764.89001,D,false,Individual,debt_consolidation,Debt consolidation
Glazier,7 years,MORTGAGE,75500,Not Verified,OR,4131,45437,Current,7000,OR,7000, 36 months,0.1612,246.52,C,false,Individual,debt_consolidation,Debt consolidation
Customer Manager,10+ years,OWN,100000,Source Verified,TX,3221,54751,Current,25000,TX,25000, 36 months,0.0944,800.13,B,false,Individual,debt_consolidation,Debt consolidation
Security Captain,10+ years,MORTGAGE,78000,Source Verified,TX,9765,78121,Current,35000,TX,35000, 60 months,0.0819,712.87,A,false,Individual,debt_consolidation,Debt consolidation
Driver,10+ years,RENT,70000,Source Verified,UT,8699,60898,Fully Paid,20000,UT,20000, 60 months,0.1367,461.95999,C,false,Individual,debt_consolidation,Debt consolidation
Senior Mortgage Specialist,8 years,OWN,180000,Source Verified,OR,12460,74759,Current,12000,OR,12000, 60 months,0.1695,297.91,C,false,Individual,debt_consolidation,Debt consolidation
Secretary ,6 years,MORTGAGE,30000,Not Verified,UT,20694,165552,Current,3500,UT,3500, 36 months,0.0721,108.41,A,false,Individual,debt_consolidation,Debt consolidation
Cashier,10+ years,MORTGAGE,30000,Verified,MN,17596,140768,Charged Off,5000,MN,5000, 36 months,0.1149,164.86,B,false,Individual,debt_consolidation,Debt consolidation
Business Manager,10+ years,MORTGAGE,128000,Not Verified,FL,10727,225279,Current,12000,FL,12000, 36 months,0.0881,380.54001,A,false,Individual,credit_card,Credit card refinancing
Department of Education NYC,7 years,MORTGAGE,72999,Verified,NJ,17645,123517,Current,28000,NJ,28000, 60 months,0.2149,765.23999,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Teacher,10+ years,OWN,42837,Source Verified,TX,2152,19370,Fully Paid,21400,TX,21400, 36 months,0.1333,724.46002,C,false,Individual,debt_consolidation,Debt consolidation
manager,3 years,MORTGAGE,70000,Not Verified,FL,2806,56125,Current,20000,FL,20000, 36 months,0.1099,654.67999,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Territory Manager,< 1 year,RENT,65000,Source Verified,CA,2754,52319,Fully Paid,26000,CA,26000, 36 months,0.1919,955.56,E,false,Individual,debt_consolidation,Debt consolidation
Engineer,3 years,MORTGAGE,103000,Not Verified,TN,38374,306988,Current,21000,TN,21000, 60 months,0.1262,473.73999,C,false,Individual,debt_consolidation,Debt consolidation
Teacher,10+ years,MORTGAGE,96000,Not Verified,CA,14605,248289,Current,13200,CA,13200, 36 months,0.0819,414.79999,A,false,Individual,credit_card,Credit card refinancing
Production Supervisor,< 1 year,MORTGAGE,56000,Verified,PA,4271,42713,Fully Paid,7000,PA,7000, 36 months,0.0917,223.16,B,false,Individual,debt_consolidation,Debt consolidation
Manager,10+ years,MORTGAGE,126500,Not Verified,PA,4646,88278,Fully Paid,8000,PA,8000, 36 months,0.0818,251.36,B,false,Individual,home_improvement,Home improvement
Electrical Test Engineer,10+ years,MORTGAGE,62000,Source Verified,CT,16551,198608,Fully Paid,16000,CT,16000, 60 months,0.1786,405.07999,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
deputy sheriff,5 years,MORTGAGE,88000,Not Verified,VT,19734,276277,Fully Paid,12000,VT,12000, 60 months,0.1333,275.07001,C,false,Individual,other,Other
Mechanic ,3 years,OWN,42000,Source Verified,IN,2792,16752,Current,10000,IN,10000, 60 months,0.1999,264.89001,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Pharmacy technician ,< 1 year,MORTGAGE,43000,Not Verified,IL,2737,13688,Current,15000,IL,15000, 36 months,0.1524,521.75,C,false,Individual,debt_consolidation,Debt consolidation
Operations Manager,4 years,RENT,85000,Source Verified,LA,1777,28438,Current,12000,LA,12000, 36 months,0.1774,432.26999,C,false,Individual,debt_consolidation,Debt consolidation
Truck Driver,5 years,MORTGAGE,120000,Verified,IL,33041,132163,Current,18500,IL,18500, 60 months,0.1499,440.01999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Secretary,10+ years,MORTGAGE,21012,Verified,KS,7563,75628,Current,4975,KS,4975, 36 months,0.2529,198.57001,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
sales manager,10+ years,MORTGAGE,65000,Source Verified,AZ,17911,268669,Current,24000,AZ,24000, 36 months,0.0849,757.51001,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Administrative Specialist,8 years,MORTGAGE,42788,Not Verified,MD,5592,39141,Late (31-120 days),9000,MD,9000, 36 months,0.164,318.20001,C,false,Individual,debt_consolidation,Debt consolidation
Benefits Specialist,2 years,RENT,95014,Verified,NJ,9846,78770,Current,5000,NJ,5000, 36 months,0.1299,168.45,C,false,INDIVIDUAL,other,Other
Graphic/Web Designer,3 years,RENT,32000,Source Verified,NY,3006,9018,Fully Paid,9600,NY,9600, 36 months,0.1999,356.73001,E,false,Individual,credit_card,Credit card refinancing
Senior Accountant,< 1 year,RENT,75000,Not Verified,MI,8061,72547,Fully Paid,10000,MI,10000, 36 months,0.0721,309.73999,A,false,Individual,credit_card,Credit card refinancing
Inspector,< 1 year,OWN,152548,Source Verified,TX,34995,279958,Fully Paid,34000,TX,34000, 36 months,0.1299,1145.4399,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Treasurer,1 year,OWN,46500,Source Verified,VA,830,4151,Current,4000,VA,4000, 36 months,0.0944,128.02,B,false,Individual,medical,Medical expenses
Full Time Faculty,4 years,MORTGAGE,75000,Source Verified,CA,19492,194915,Current,8000,CA,8000, 36 months,0.1502,277.41,C,false,Individual,debt_consolidation,Debt consolidation
Regional Finance Manager,10+ years,MORTGAGE,120000,Source Verified,OH,12741,267568,Fully Paid,35000,OH,35000, 36 months,0.0799,1096.62,A,false,INDIVIDUAL,home_improvement,Home improvement
Store mgr,2 years,RENT,75000,Verified,CT,2979,56596,Charged Off,30000,CT,30000, 60 months,0.202,798.15997,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
senior Htech,7 years,OWN,110000,Verified,AL,5614,106659,Fully Paid,14000,AL,14000, 36 months,0.1333,473.95001,C,false,Individual,debt_consolidation,Debt consolidation
Contact Representstive,10+ years,MORTGAGE,102000,Not Verified,UT,12092,229742,Current,25000,UT,25000, 60 months,0.1505,595.40997,C,false,Individual,debt_consolidation,Debt consolidation
Dispatcher/Router,< 1 year,RENT,35000,Not Verified,CA,2067,28935,Current,7350,CA,7350, 36 months,0.0756,228.84,A,false,Individual,credit_card,Credit card refinancing
Vice President ,8 years,MORTGAGE,250000,Source Verified,VA,90006,540036,Fully Paid,25000,VA,25000, 60 months,0.2583,746,G,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Athletic Trainer,2 years,MORTGAGE,40200,Not Verified,AL,12327,73959,Fully Paid,10000,AL,10000, 36 months,0.1199,332.10001,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Visiting Nurse Health System,2 years,RENT,39000,Not Verified,GA,11447,80130,Fully Paid,6000,GA,6000, 36 months,0.1368,204.14,C,false,INDIVIDUAL,debt_consolidation,Consolidation
Locomotive engineer ,< 1 year,OWN,82000,Source Verified,AR,18417,239417,Current,21000,AR,21000, 60 months,0.2485,614.53998,E,false,Joint App,debt_consolidation,Debt consolidation
Customer Sales & Service,8 years,RENT,33000,Verified,WI,2108,25298,Fully Paid,11850,WI,11850, 36 months,0.2118,447.54999,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Manager ,8 years,RENT,74000,Source Verified,MA,5162,72268,Current,14000,MA,14000, 36 months,0.1144,461.26999,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Director,10+ years,OWN,85000,Source Verified,LA,10839,32517,Current,30000,LA,30000, 36 months,0.0824,943.41998,B,false,Individual,credit_card,Credit card refinancing
Registered Nurse ,10+ years,MORTGAGE,85000,Verified,FL,4638,97390,Current,21275,FL,21275, 36 months,0.2,790.65997,D,false,Individual,debt_consolidation,Debt consolidation
Research Supervisor,10+ years,MORTGAGE,63000,Source Verified,PA,32983,329830,Current,6000,PA,6000, 36 months,0.0649,183.87,A,false,INDIVIDUAL,credit_card,Credit card refinancing
Louis Vuitton,< 1 year,RENT,65996,Not Verified,CA,1875,20621,Fully Paid,18225,CA,18225, 36 months,0.2031,680.19,D,false,INDIVIDUAL,other,Other
OWNER,2 years,MORTGAGE,250000,Source Verified,TX,10438,156577,Charged Off,18075,TX,18075, 60 months,0.2299,509.44,F,false,Individual,small_business,Business
Kitchen manager,5 years,RENT,65000,Verified,FL,8508,68062,Charged Off,6000,FL,6000, 36 months,0.1655,212.58,D,false,Individual,other,Other
Route Driver,3 years,MORTGAGE,75000,Verified,RI,38268,229605,Current,20000,RI,20000, 60 months,0.164,490.63,C,false,Individual,debt_consolidation,Debt consolidation
Manager,10+ years,RENT,56000,Not Verified,MO,1081,16218,Current,10000,MO,10000, 36 months,0.1091,326.97,B,false,Individual,debt_consolidation,Debt consolidation
Condominum on the Bay,1 year,OWN,28000,Not Verified,FL,3211,22474,Charged Off,2000,FL,2000, 36 months,0.1235,66.769997,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Director of Marketing,3 years,MORTGAGE,75000,Source Verified,NY,11352,170284,Current,25000,NY,25000, 36 months,0.0756,778.34998,A,false,Individual,credit_card,Credit card refinancing
Product Stylist,1 year,MORTGAGE,50000,Verified,NJ,2636,10542,Current,40000,NJ,40000, 36 months,0.0881,1268.46,A,false,Joint App,debt_consolidation,Debt consolidation
Taylor ISD,1 year,RENT,50000,Not Verified,TX,5149,46338,Fully Paid,5000,TX,5000, 36 months,0.1629,176.50999,C,false,INDIVIDUAL,credit_card,Credit Card Loan
Expert Furniture Tecnician,10+ years,RENT,40000,Source Verified,NJ,1539,7695,Current,11000,NJ,11000, 60 months,0.1655,270.73001,D,false,Individual,other,Other
RN,< 1 year,MORTGAGE,85000,Source Verified,TX,10828,119113,Current,36000,TX,36000, 36 months,0.0702,1111.91,A,false,Joint App,debt_consolidation,Debt consolidation
City of Dacono,10+ years,RENT,70000,Verified,CO,3733,48526,Fully Paid,30000,CO,30000, 60 months,0.2376,858.87,F,false,INDIVIDUAL,debt_consolidation,Credit Lending
Records Coordinator,5 years,RENT,38176,Source Verified,IL,740,8139,Current,20000,IL,20000, 60 months,0.2235,556.37,D,false,Individual,debt_consolidation,Debt consolidation
Finance/Supply Chief,10+ years,MORTGAGE,90000,Source Verified,SC,17808,178078,Current,15000,SC,15000, 36 months,0.0702,463.29999,A,false,Individual,debt_consolidation,Debt consolidation
Manager,10+ years,MORTGAGE,150000,Verified,CA,49689,496891,Fully Paid,25000,CA,25000, 36 months,0.1229,833.83002,C,false,Individual,debt_consolidation,Debt consolidation
Cook,10+ years,MORTGAGE,30000,Not Verified,WI,2691,21527,Current,5000,WI,5000, 36 months,0.1612,176.09,C,false,Individual,credit_card,Credit card refinancing
Corrections/Rescue ,10+ years,RENT,100000,Not Verified,CA,6828,68279,Current,20000,CA,20000, 36 months,0.1149,659.42999,B,false,Individual,debt_consolidation,Debt consolidation
Tax Manager,3 years,MORTGAGE,135000,Not Verified,MA,8569,179969,Current,28000,MA,28000, 36 months,0.0881,887.91998,A,false,Individual,debt_consolidation,Debt consolidation
Lab Technician,10+ years,MORTGAGE,80000,Not Verified,SD,16898,202776,Current,12000,SD,12000, 36 months,0.0532,361.38,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Lieutenant,10+ years,MORTGAGE,105000,Source Verified,GA,5636,67633,Charged Off,35000,GA,35000, 60 months,0.1825,893.53998,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Engineering Assistant II,2 years,RENT,56300,Source Verified,TX,3577,50072,Fully Paid,20000,TX,20000, 36 months,0.0726,619.92999,A,false,Individual,major_purchase,Major purchase
Senior Engineer,< 1 year,MORTGAGE,127500,Verified,TN,40596,365361,Current,35000,TN,35000, 60 months,0.2149,956.54999,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Corporate Training Manager,6 years,RENT,90550,Verified,CA,6157,49252,Charged Off,16000,CA,16000, 60 months,0.1144,351.39999,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Senior Officer Specialist,9 years,RENT,56000,Verified,AZ,3585,53775,Charged Off,8000,AZ,8000, 36 months,0.1099,261.88,B,false,Individual,debt_consolidation,Debt consolidation
Assistant General Manager,10+ years,RENT,48000,Source Verified,TX,4037,24223,Current,3200,TX,3200, 36 months,0.1155,105.6,B,false,Individual,debt_consolidation,Debt consolidation
Office Manager,4 years,OWN,35000,Not Verified,TX,1287,19308,Current,10000,TX,10000, 60 months,0.1171,220.99001,B,false,Individual,credit_card,Credit card refinancing
Product Support Manager ,10+ years,MORTGAGE,88892,Not Verified,TX,7407,103691,Fully Paid,9600,TX,9600, 36 months,0.0819,301.67999,A,false,INDIVIDUAL,credit_card,Credit card refinancing
Sales,3 years,RENT,50000,Source Verified,TX,2978,8934,Current,1000,TX,1000, 36 months,0.1078,32.639999,B,false,INDIVIDUAL,other,Other
Pharmacy technician ,7 years,RENT,57000,Not Verified,NY,1781,28491,Current,20000,NY,20000, 60 months,0.1499,475.70001,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
OW,10+ years,RENT,220000,Source Verified,CA,11508,172634,Current,28000,CA,28000, 60 months,0.0797,567.34003,A,false,Individual,credit_card,Credit card refinancing
Service advisor ,< 1 year,RENT,60000,Verified,CA,5656,62214,Current,15000,CA,15000, 60 months,0.2,397.41,D,false,Individual,debt_consolidation,Debt consolidation
Lecturer,6 years,MORTGAGE,60000,Source Verified,TX,23757,261326,Current,11200,TX,11200, 36 months,0.1308,377.81,B,false,Individual,debt_consolidation,Debt consolidation
sales,1 year,RENT,75000,Not Verified,NJ,5649,22596,Current,7800,NJ,7800, 36 months,0.1049,253.49001,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Grambling State University,10+ years,RENT,61000,Not Verified,LA,1190,21419,Fully Paid,1400,LA,1400, 36 months,0.1409,47.91,B,false,INDIVIDUAL,credit_card,Apr-13
Casino Dealer,9 years,MORTGAGE,75000,Source Verified,CA,2725,32703,Charged Off,20000,CA,20000, 36 months,0.1498,693.12,C,false,INDIVIDUAL,credit_card,Refi-cc1
AVP,2 years,RENT,64000,Not Verified,NY,4883,78134,Fully Paid,12000,NY,12000, 36 months,0.1199,398.51999,B,false,INDIVIDUAL,major_purchase,Major purchase
Mechanic,10+ years,MORTGAGE,50000,Verified,VT,29486,265370,Current,5000,VT,5000, 36 months,0.1274,167.85001,C,false,Joint App,debt_consolidation,Debt consolidation
Risk and Safety Management,2 years,OWN,87000,Source Verified,FL,13150,118347,Fully Paid,12725,FL,12725, 36 months,0.1757,457.29999,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Executive Assistant,10+ years,MORTGAGE,38900,Not Verified,FL,28324,141622,Current,12000,FL,12000, 60 months,0.2039,320.54001,D,false,Individual,debt_consolidation,Debt consolidation
Vacation Planner,2 years,RENT,96000,Source Verified,FL,5028,50284,Current,20000,FL,20000, 36 months,0.1049,649.96002,B,false,Individual,debt_consolidation,Debt consolidation
Production Planning Management,8 years,MORTGAGE,65300,Source Verified,GA,15306,183674,Fully Paid,12000,GA,12000, 60 months,0.1353,276.31,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Sr. Electronic Trainer Tech,10+ years,MORTGAGE,77000,Source Verified,TX,24938,274322,Current,10800,TX,10800, 60 months,0.1999,286.07999,E,false,Individual,moving,Moving and relocation
Police Officer,7 years,RENT,110000,Source Verified,WA,5228,62738,Fully Paid,16000,WA,16000, 36 months,0.1099,523.75,B,false,Individual,debt_consolidation,Debt consolidation
Sales managet,8 years,MORTGAGE,225000,Verified,NJ,38400,307203,Current,35000,NJ,35000, 36 months,0.1274,1174.91,C,false,Individual,debt_consolidation,Debt consolidation
Investigator,10+ years,MORTGAGE,50000,Source Verified,NV,4988,99757,Fully Paid,21625,NV,21625, 60 months,0.1599,525.77002,D,false,Individual,credit_card,Credit card refinancing
Assistant Manager ,10+ years,RENT,58000,Source Verified,GA,1650,13199,Current,7000,GA,7000, 36 months,0.1144,230.64,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Medical Assistant ,2 years,RENT,30000,Source Verified,NY,2603,31239,In Grace Period,6000,NY,6000, 36 months,0.1147,197.78,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
TEACHER,10+ years,MORTGAGE,53000,Source Verified,TX,13352,93462,Current,21200,TX,21200, 60 months,0.1655,521.76001,D,false,Individual,debt_consolidation,Debt consolidation
correctional officer,5 years,RENT,89000,Verified,NY,1253,16285,Charged Off,6325,NY,6325, 36 months,0.1366,215.14,C,false,Individual,credit_card,Credit card refinancing
Station Tech Manager,6 years,RENT,65000,Source Verified,MD,2436,4871,Current,12000,MD,12000, 60 months,0.1407,279.66,C,false,Individual,credit_card,Credit card refinancing
Manager,< 1 year,MORTGAGE,55000,Verified,CA,60291,301453,Current,35000,CA,35000, 60 months,0.1274,791.71002,C,false,Joint App,credit_card,Credit card refinancing
Warehouse Manager,2 years,RENT,60000,Verified,CA,2727,43625,Current,10000,CA,10000, 36 months,0.1279,335.92999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Port Maintenance,10+ years,MORTGAGE,34715,Not Verified,WA,50937,152811,Fully Paid,6250,WA,6250, 36 months,0.089,198.46001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Captain ,4 years,RENT,42000,Not Verified,HI,1969,19688,Current,2000,HI,2000, 36 months,0.1171,66.160004,B,false,Individual,other,Other
Mecanic,< 1 year,MORTGAGE,95000,Not Verified,WA,27388,328660,Current,19125,WA,19125, 36 months,0.0819,600.98999,A,false,Joint App,debt_consolidation,Debt consolidation
Engineering Technician,10+ years,MORTGAGE,72250,Not Verified,GA,15850,110951,Current,5000,GA,5000, 36 months,0.0532,150.58,A,false,Individual,major_purchase,Major purchase
Engineer 3,10+ years,MORTGAGE,71000,Not Verified,WA,37156,297251,Current,15600,WA,15600, 60 months,0.1559,375.98001,C,false,INDIVIDUAL,credit_card,Credit card refinancing
Senior Project Manager,8 years,MORTGAGE,93000,Verified,TN,34932,139727,Charged Off,35000,TN,35000, 60 months,0.1855,899.28003,E,false,Individual,debt_consolidation,Debt consolidation
Customer service representative,2 years,RENT,28000,Not Verified,NY,3620,25343,Fully Paid,11150,NY,11150, 60 months,0.1655,274.42001,D,false,Individual,credit_card,Credit card refinancing
truck driver,3 years,OWN,60000,Source Verified,NY,2821,50783,Current,4925,NY,4925, 36 months,0.0839,155.22,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Systems Engineer III,2 years,MORTGAGE,99700,Verified,NV,29632,325948,Fully Paid,27000,NV,27000, 36 months,0.0726,836.90002,A,false,Individual,debt_consolidation,Debt consolidation
Administrator,10+ years,MORTGAGE,110000,Not Verified,VA,50086,500858,Current,11000,VA,11000, 36 months,0.0532,331.26999,A,false,Individual,credit_card,Credit card refinancing
Applications Specialist,4 years,MORTGAGE,50000,Source Verified,AZ,4537,63516,Current,8000,AZ,8000, 36 months,0.1699,285.19,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
RCC,2 years,RENT,50000,Source Verified,AZ,4904,19617,Fully Paid,2700,AZ,2700, 36 months,0.1806,97.699997,D,false,Individual,other,Other
sales,3 years,RENT,40000,Not Verified,FL,3832,15330,Fully Paid,4000,FL,4000, 36 months,0.1239,133.61,C,false,Individual,debt_consolidation,Debt consolidation
Manager,6 years,RENT,70000,Source Verified,CA,4241,38168,Charged Off,30000,CA,30000, 60 months,0.1561,723.34003,D,false,Individual,credit_card,Credit card refinancing
firefighter,10+ years,MORTGAGE,70000,Not Verified,IN,6642,53139,Fully Paid,2000,IN,2000, 36 months,0.0721,61.950001,A,false,Individual,home_improvement,Home improvement
Cashier,8 years,RENT,60000,Not Verified,SC,7332,43990,Current,4000,SC,4000, 36 months,0.1502,138.71001,C,false,Individual,credit_card,Credit card refinancing
supervisor,10+ years,MORTGAGE,105258,Source Verified,PA,9983,99833,Current,21000,PA,21000, 60 months,0.0784,424.20001,A,false,Individual,debt_consolidation,Debt consolidation
School counselor,3 years,MORTGAGE,42000,Verified,MN,14503,159543,Charged Off,18875,MN,18875, 36 months,0.1499,654.21997,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Tech,9 years,RENT,145000,Source Verified,CA,1950,40953,Current,24000,CA,24000, 36 months,0.0735,744.90002,A,false,Individual,debt_consolidation,Debt consolidation
qc short,5 years,MORTGAGE,107000,Source Verified,OH,23070,184558,Current,33600,OH,33600, 36 months,0.1091,1098.59,B,false,Joint App,credit_card,Credit card refinancing
Store Manager,3 years,RENT,75000,Source Verified,MA,2139,14974,Fully Paid,25000,MA,25000, 36 months,0.0749,777.54999,A,false,Individual,debt_consolidation,Debt consolidation
broker,3 years,MORTGAGE,100000,Source Verified,WA,3866,46393,Fully Paid,10625,WA,10625, 36 months,0.1695,378.54999,C,false,Individual,home_improvement,Home improvement
Managing editor,5 years,RENT,71000,Not Verified,CA,1595,11166,Current,7000,CA,7000, 36 months,0.0532,210.81,A,false,Individual,credit_card,Credit card refinancing
Finance director,10+ years,MORTGAGE,375000,Verified,CA,28633,458128,Current,35000,CA,35000, 36 months,0.0707,1081.8199,A,false,Individual,debt_consolidation,Debt consolidation
Route assistant,1 year,MORTGAGE,65000,Source Verified,LA,22118,176940,Current,11200,LA,11200, 60 months,0.1033,239.78999,B,false,Individual,debt_consolidation,Debt consolidation
Claims Adjuster,10+ years,OWN,121000,Source Verified,GA,9329,130603,Current,23400,GA,23400, 60 months,0.1524,559.64001,C,false,Individual,major_purchase,Major purchase
Field project supervisor ,6 years,RENT,45000,Verified,MO,3675,58798,Current,15000,MO,15000, 36 months,0.1825,544.16998,D,false,INDIVIDUAL,credit_card,Credit card refinancing
Community EducationCenters,10+ years,MORTGAGE,86000,Verified,TX,16733,250998,Fully Paid,26000,TX,26000, 60 months,0.1825,663.78003,D,false,INDIVIDUAL,credit_card,Credit card refinancing
Supervisor ,3 years,RENT,52000,Not Verified,NY,2513,17593,Late (31-120 days),7200,NY,7200, 36 months,0.1862,262.54999,D,false,Individual,credit_card,Credit card refinancing
Programmer,4 years,RENT,45000,Not Verified,PA,2725,19078,Current,7200,PA,7200, 36 months,0.0797,225.53,A,false,Individual,credit_card,Credit card refinancing
Senior Financial Analyst,1 year,MORTGAGE,85000,Not Verified,MA,24827,248265,Fully Paid,25000,MA,25000, 60 months,0.1919,651.14001,E,false,Individual,debt_consolidation,Debt consolidation
foreman,10+ years,MORTGAGE,60000,Not Verified,IN,12677,63386,Current,4000,IN,4000, 36 months,0.0756,124.54,A,false,Individual,debt_consolidation,Debt consolidation
IT Support Specialist,< 1 year,RENT,60000,Verified,CA,2375,23751,Current,4000,CA,4000, 36 months,0.1903,146.69,D,false,Individual,other,Other
Service Sales Manager,2 years,RENT,66367.352,Source Verified,TX,2533,20263,Current,10000,TX,10000, 36 months,0.0649,306.45001,A,false,INDIVIDUAL,credit_card,Credit card refinancing
Maintenance Electriction ,6 years,RENT,85000,Verified,CT,3131,28175,Current,9200,CT,9200, 36 months,0.1449,316.63,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Assistant manager,3 years,OWN,48500,Not Verified,CA,2092,16736,Current,3350,CA,3350, 36 months,0.1102,109.71,B,false,Individual,debt_consolidation,Debt consolidation
PACIFIC DIAGNOSTIC LAB,6 years,RENT,85000,Not Verified,CA,1537,9221,Fully Paid,10000,CA,10000, 36 months,0.1311,337.47,B,false,INDIVIDUAL,home_improvement,old house
Director,1 year,MORTGAGE,75000,Not Verified,CO,30093,300933,Current,12000,CO,12000, 60 months,0.1299,272.98001,C,false,INDIVIDUAL,credit_card,Credit card refinancing
Customer Service ,8 years,MORTGAGE,42000,Not Verified,IL,17126,102756,Current,16000,IL,16000, 36 months,0.1171,529.21997,B,false,Individual,debt_consolidation,Debt consolidation
Officer,10+ years,MORTGAGE,111600,Source Verified,TN,24287,315730,Current,15000,TN,15000, 36 months,0.1007,484.51001,B,false,Individual,debt_consolidation,Debt consolidation
Police Officer,4 years,MORTGAGE,70000,Not Verified,AL,43549,304843,Current,15000,AL,15000, 36 months,0.0881,475.67999,A,false,Individual,credit_card,Credit card refinancing
Maintenance,10+ years,RENT,40000,Source Verified,CT,602,4816,Current,12750,CT,12750, 60 months,0.1612,310.87,C,false,Individual,major_purchase,Major purchase
Logistics,10+ years,MORTGAGE,95000,Not Verified,FL,18364,293824,Fully Paid,12000,FL,12000, 36 months,0.0603,365.23001,A,false,INDIVIDUAL,home_improvement,Pool
Lakewood Regional Medical Center,3 years,MORTGAGE,75000,Not Verified,CA,1723,13782,Fully Paid,15000,CA,15000, 36 months,0.1561,524.47998,C,false,INDIVIDUAL,credit_card,consolidating loan
Senior Director,6 years,OWN,185000,Not Verified,CT,73683,589463,Current,15000,CT,15000, 36 months,0.0671,461.17999,A,false,Individual,debt_consolidation,Debt consolidation
manager,10+ years,MORTGAGE,85000,Not Verified,GA,14332,171989,Fully Paid,13800,GA,13800, 60 months,0.0999,293.14999,B,false,Individual,credit_card,Credit card refinancing
Supervisor,9 years,MORTGAGE,79200,Verified,MA,39665,317316,Current,40000,MA,40000, 60 months,0.1171,883.92999,B,false,Joint App,major_purchase,Major purchase
QA,2 years,MORTGAGE,121688,Source Verified,MN,19987,339782,Current,5000,MN,5000, 36 months,0.1213,166.39,B,false,Individual,other,Other
Research Assistant,3 years,RENT,42000,Verified,CA,5528,33167,Current,5000,CA,5000, 36 months,0.1999,185.8,D,false,Individual,other,Other
Events Manager,7 years,RENT,65000,Source Verified,NY,2446,29354,Current,15200,NY,15200, 36 months,0.0735,471.76999,A,false,Individual,debt_consolidation,Debt consolidation
System Administrator ,10+ years,OWN,108000,Not Verified,CO,18543,241062,Current,10000,CO,10000, 36 months,0.0671,307.45001,A,false,Individual,credit_card,Credit card refinancing
Recruiter,10+ years,MORTGAGE,68000,Not Verified,TX,25289,177023,Current,1200,TX,1200, 36 months,0.0721,37.169998,A,false,Individual,other,Other
finishing tech.,10+ years,MORTGAGE,60000,Not Verified,AR,10265,82119,Fully Paid,8000,AR,8000, 36 months,0.1199,265.67999,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
